0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.27999994,-0.6,-0.42,-0.4,-0.9000001,-0.3,-0.3,-0.2,-0.32,-0.5,-0.43999997,-0.6,-0.4,-0.42,-0.4,-0.6,-0.5,-0.8000001,-0.4,-0.70000005
-0.52,-0.5,-0.62,-0.4,-0.9000001,-0.3,-0.4,-0.3,-0.32,-0.4,-0.6,-0.6,-0.5,-0.22,-0.5,-0.6,-0.5,-0.70000005,-0.5,-0.6
-0.42,-0.6,-0.52,-0.5,-0.70000005,-0.4,-0.6,-0.4,-0.42,-0.70000005,-0.70000005,-0.8000001,-0.5,-0.62,-0.4,-0.6,-0.6,-0.70000005,-0.8000001,-0.8000001
0.15000004,-0.4,-0.55,-0.42,-0.62000006,-0.32,-0.5,-0.5,-0.55,-0.5,-0.23999992,-0.9000001,-0.3,-0.35,-0.5,-0.5,-0.119999975,-0.9000001,-0.6,-0.47999996
-0.04999999,-0.52,-0.55,-0.4,-0.14999992,-0.05999998,-0.6,-0.3,-0.25,-0.70000005,-0.32999992,-0.61,-0.5,-0.45,-0.5,-0.6,-0.19999993,-0.6800001,-0.6,-0.46000004
-0.69,-0.5,-0.59,-0.4,-1.0000001,-0.5,-0.70000005,-0.3,-0.48999998,-0.6,-0.74000007,-0.70000005,-0.6,-0.59,-0.4,-0.6,-0.6,-0.70000005,-0.70000005,-0.70000005
-0.32,-0.4,-0.42,-0.3,-0.70000005,-0.4,-0.5,-0.5,-0.32,-0.6,-0.5,-0.5,-0.5,-0.52,-0.3,-0.6,-0.4,-0.70000005,-0.6,-0.6
-0.20000002,-0.81000006,-0.84000033,-0.74999994,0.44,-0.049999975,-0.7600003,-0.47999987,-0.8200006,-0.9300004,0.070000425,-0.9299999,-0.8100002,-1.1900002,-0.4699999,-1.05,-0.24999975,0.010000287,-0.46999967,0.27000043
-0.72,-0.4,-0.52,-0.3,-0.70000005,-0.4,-0.5,-0.5,-0.62,-0.5,-0.6,-0.5,-0.4,-0.52,-0.6,-0.5,-0.4,-0.5,-0.5,-0.5
-0.59,-0.4,-0.69,-0.5,-0.80000013,-0.4,-0.4,-0.3,-0.39,-0.70000005,-0.4999999,-0.65999997,-0.3,-0.48999998,-0.5,-0.6,-0.4,-0.8400001,-0.6,-0.78000015
-0.32,-0.6,-0.52,-0.4,-0.70000005,-0.4,-0.5,-0.5,-0.42,-0.6,-0.8000001,-0.8000001,-0.6,-0.52,-0.70000005,-0.6,-0.5,-0.8000001,-0.5,-0.8000001
-0.26999998,-0.44,-0.41,-0.14,-0.6,-0.54,-0.5,-0.38,-0.53,-0.8000001,-0.56,-0.72,-0.44,-0.51,-0.24000001,-0.38,-0.6,-0.6,-0.52,-0.49999997
-0.2699999,-0.26999998,-0.10999996,-0.62000006,-0.70000035,-0.21000001,-0.6600002,-0.33999997,-0.5799999,-0.49999997,-0.53,-0.34999993,-0.18999997,-0.65000004,-0.26999998,-0.34999996,-0.07999998,-0.38999993,-0.59000003,-0.63000005
-0.48999998,-0.4,-0.48999998,-0.3,-0.15,-0.4,-0.5,-0.4,-0.59,-0.6,-0.45,-0.34999996,-0.70000005,-0.39,-0.3,-0.6,-0.5,-0.49999997,-0.70000005,-0.39999995
-0.62,-0.5,-0.62,-0.4,-1.0000001,-0.4,-0.70000005,-0.5,-0.52,-0.70000005,-0.70000005,-0.6,-0.6,-0.52,-0.3,-0.6,-0.70000005,-0.8000001,-0.6,-0.6
-0.42,-0.70000005,-0.32,-0.4,-0.6000001,-0.5,-0.5,-0.4,-0.42,-0.70000005,-0.39999995,-0.54,-0.4,-0.42,-0.5,-0.6,-0.6,-0.6600001,-0.5,-0.62000006
-0.4199999,-0.25999996,-0.21999991,-0.32,-0.70000005,-0.32,-0.56000006,-0.05999998,-0.21999991,-0.19999993,-0.6,-0.29999992,-0.27999994,-0.11999995,-0.33999997,-0.35999995,-0.39999992,-0.6,-0.39999992,-0.6
